,osm_way_id,speed_mph_mean
226,701386,12.084357142857144
227,701509,15.077083333333333
228,701587,13.822
229,701820,16.62373913043478
230,702200,16.0531
231,702244,13.317715686274509
232,702355,10.604239999999999
233,732321,12.502857142857142
234,732356,14.164277777777777
235,733080,15.302666666666667
236,742018,12.939333333333332
237,748481,26.594841666666664
238,793644,26.04614583333333
239,794021,13.435833333333333
240,794064,12.6945
241,794363,13.899739130434783
242,794403,11.987777777777778
243,794551,14.374866666666666
244,794704,11.807282608695653
245,794723,9.91553125
246,794734,12.78657142857143
247,796081,16.52588958333333
248,796156,20.98608680555556
249,796755,14.722187499999999
250,796841,17.989833333333333
251,796920,10.333125
252,797081,14.505541666666666
253,797917,15.008622047244094
254,798039,17.507
255,798212,15.378791666666666
256,798384,25.19758333333333
257,798753,16.620075
258,799672,18.09223076923077
